date,organic_traffic,seo_investment,content_published,backlinks_acquired
2022-01-01,8500,0,0,0
2022-02-01,8300,0,0,0
2022-03-01,8100,0,0,0
2022-04-01,7900,3000,5,2
2022-05-01,8000,3000,5,3
2022-06-01,8200,3000,5,2
2022-07-01,8400,5000,8,5
2022-08-01,8600,5000,10,4
2022-09-01,8900,5000,8,6
2022-10-01,9200,5000,10,5
2022-11-01,9500,7000,12,7
2022-12-01,9800,7000,12,8
2023-01-01,10200,7000,15,9
2023-02-01,10600,7000,12,8
2023-03-01,11000,8000,15,10
2023-04-01,11500,8000,18,12
2023-05-01,12000,8000,15,11
2023-06-01,12600,10000,20,15
2023-07-01,13200,10000,22,14
2023-08-01,13900,10000,20,16
2023-09-01,14600,10000,25,18
2023-10-01,15400,12000,25,20
2023-11-01,16200,12000,28,22
2023-12-01,17100,12000,30,25
2024-01-01,18000,15000,35,28
2024-02-01,19000,15000,32,26
2024-03-01,20100,15000,35,30
2024-04-01,21300,15000,38,32
2024-05-01,22600,18000,40,35
2024-06-01,24000,18000,42,38
2024-07-01,25500,18000,45,40
2024-08-01,27100,20000,50,45
2024-09-01,28800,20000,48,42
2024-10-01,30600,20000,50,48

